City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
575,Palapag,PH,77.56,scattered clouds,12.5458,125.1147,Xian Chua's Place
578,Les Cayes,HT,82.38,clear sky,18.2,-73.75,Villa Orphee
581,Phak Hai,TH,78.01,clear sky,14.4574,100.3699,เดอะ แบงค์ ริเวอร์ เฮาส์ (The Bank River House)
583,Huarmey,PE,75.38,broken clouds,-10.0681,-78.1522,Hotel Miramar
585,Syriam,MM,77.0,clear sky,16.7722,96.2378,Excel River View
587,Pacasmayo,PE,75.18,overcast clouds,-7.4006,-79.5714,Hotel Libertad
590,Geraldton,AU,77.0,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
594,Faanui,PF,80.92,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
597,Opuwo,,84.6,broken clouds,-18.0607,13.84,ABBA Guesthouse
598,Takoradi,GH,82.74,light rain,4.8845,-1.7554,Raybow International Hotel
605,Ternate,ID,80.35,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
606,Reconquista,AR,83.98,clear sky,-29.15,-59.65,Grand Hotel
611,Lufilufi,WS,75.2,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
617,Namibe,AO,75.45,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
618,Zwedru,LR,87.71,broken clouds,6.0667,-8.1281,Elijah Worjloh
631,Balikpapan,ID,76.57,overcast clouds,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
632,Alta Floresta,BR,87.49,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
641,Alice Springs,AU,78.8,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
642,Moussoro,TD,80.42,clear sky,13.6408,16.4901,Pharmacie alnadja Moussoro
643,Panama City,PA,89.6,few clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
644,Cordoba,AR,86.0,clear sky,-31.4135,-64.1811,Sheraton Cordoba Hotel
649,Presidencia Roque Saenz Pena,AR,87.01,clear sky,-26.7852,-60.4388,Hotel Gualok
651,Mecca,SA,78.96,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
653,Concordia,AR,79.0,broken clouds,-31.393,-58.0209,Palmar Hotel Casino
655,Dovers,VC,82.4,scattered clouds,12.8833,-61.1833,Ocean Breeze
661,Maldonado,UY,75.2,broken clouds,-34.6667,-54.9167,La Cimarrona
665,Kralendijk,BQ,84.2,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
666,Quechultenango,MX,87.53,clear sky,17.4167,-99.2167,Baños publicos y casa de hospedaje popolutla
667,Manggar,ID,79.14,broken clouds,-2.8833,108.2667,Guest Hotel
672,Axim,GH,82.78,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
683,Majene,ID,78.73,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
685,Reserva,BR,76.78,broken clouds,-24.6503,-50.8506,Hotel Mavi
